JAHR;MONAT;ZAEHLSTELLE;FAHRZEUGKLASSE;ANZAHL
2023;12;668;Kfz > 3,5t hzG;1747.0
2023;12;668;Kfz <= 3,5t hzG;19864.0
2023;12;674;Kfz;21260.0
2023;12;674;Kfz > 3,5t hzG;1567.0
2023;12;674;Kfz <= 3,5t hzG;19693.0
2023;12;8126;Kfz;21347.0
2023;12;8126;Kfz > 3,5t hzG;1716.0
2023;12;8126;Kfz <= 3,5t hzG;19631.0
2023;12;7;Kfz;22205.0
2023;12;7;Kfz > 3,5t hzG;1580.0
2023;12;7;Kfz <= 3,5t hzG;20625.0
2023;12;382;Kfz;23881.0
2023;12;382;Kfz > 3,5t hzG;1624.0
2023;12;382;Kfz <= 3,5t hzG;22257.0
2023;12;601;Kfz > 3,5t hzG;430.0
2023;12;183;Kfz;39860.0
2023;12;183;Kfz > 3,5t hzG;6468.0
2023;12;183;Kfz <= 3,5t hzG;33392.0
2023;12;8045;Kfz;24635.0
2023;12;8045;Kfz > 3,5t hzG;6065.0
2023;12;8045;Kfz <= 3,5t hzG;18570.0
2023;12;287;Kfz > 3,5t hzG;5963.0
2023;12;307;Kfz;22384.0
2023;12;307;Kfz > 3,5t hzG;5961.0
2023;12;307;Kfz <= 3,5t hzG;16423.0
2023;12;521;Kfz;14897.0
2023;12;521;Kfz > 3,5t hzG;1236.0
2023;12;521;Kfz <= 3,5t hzG;13661.0
2023;12;550;Kfz;39072.0
2023;12;550;Kfz > 3,5t hzG;3224.0
2023;12;550;Kfz <= 3,5t hzG;35848.0
2023;12;710;Kfz;43126.0
2023;12;710;Kfz > 3,5t hzG;3306.0
2023;12;710;Kfz <= 3,5t hzG;39820.0
2023;12;559;Kfz;65059.0
2023;12;559;Kfz > 3,5t hzG;3633.0
2023;12;559;Kfz <= 3,5t hzG;61426.0
2023;12;697;Kfz;54160.0
2023;12;697;Kfz > 3,5t hzG;2958.0
2023;12;697;Kfz <= 3,5t hzG;51202.0
2023;12;714;Kfz;56708.0
2023;12;714;Kfz > 3,5t hzG;3135.0
2023;12;714;Kfz <= 3,5t hzG;53573.0
2023;12;572;Kfz > 3,5t hzG;3216.0
2023;12;578;Kfz;38522.0
2023;12;578;Kfz > 3,5t hzG;2578.0
2023;12;578;Kfz <= 3,5t hzG;35944.0
2023;12;703;Kfz > 3,5t hzG;3054.0
2023;12;3094;Kfz > 3,5t hzG;844.0
2023;12;584;Kfz;48045.0
2023;12;584;Kfz > 3,5t hzG;2750.0
2023;12;584;Kfz <= 3,5t hzG;45295.0
2023;12;560;Kfz;33161.0
2023;12;560;Kfz > 3,5t hzG;2434.0
2023;12;560;Kfz <= 3,5t hzG;30727.0
2023;12;566;Kfz;30093.0
2023;12;566;Kfz > 3,5t hzG;1982.0
2023;12;566;Kfz <= 3,5t hzG;28111.0
2023;12;596;Kfz;31409.0
2023;12;596;Kfz > 3,5t hzG;1770.0
2023;12;596;Kfz <= 3,5t hzG;29639.0
2023;12;602;Kfz;28887.0
2023;12;602;Kfz > 3,5t hzG;1678.0
2023;12;602;Kfz <= 3,5t hzG;27209.0
2023;12;709;Kfz;26328.0
2023;12;709;Kfz > 3,5t hzG;1554.0
2023;12;709;Kfz <= 3,5t hzG;24774.0
2023;12;5;Kfz;16421.0
2023;12;5;Kfz > 3,5t hzG;541.0
2023;12;5;Kfz <= 3,5t hzG;15880.0
2023;12;763;Kfz;48783.0
2023;12;763;Kfz > 3,5t hzG;6851.0
2023;12;763;Kfz <= 3,5t hzG;41932.0
2023;12;720;Kfz;41652.0
2023;12;720;Kfz > 3,5t hzG;6845.0
2023;12;720;Kfz <= 3,5t hzG;34807.0
2023;12;411;Kfz;42582.0
2023;12;411;Kfz > 3,5t hzG;6733.0
2023;12;411;Kfz <= 3,5t hzG;35849.0
2023;12;417;Kfz;42528.0
2023;12;417;Kfz > 3,5t hzG;6804.0
2023;12;417;Kfz <= 3,5t hzG;35724.0
2023;12;396;Kfz;79854.0
2023;12;396;Kfz > 3,5t hzG;8012.0
2023;12;396;Kfz <= 3,5t hzG;71842.0
2023;12;734;Kfz;97686.0
2023;12;734;Kfz > 3,5t hzG;3638.0
2023;12;734;Kfz <= 3,5t hzG;94048.0
2023;12;907;Kfz;105986.0
2023;12;907;Kfz > 3,5t hzG;3634.0
2023;12;907;Kfz <= 3,5t hzG;102352.0
2023;12;775;Kfz;98016.0
2023;12;775;Kfz > 3,5t hzG;3606.0
2023;12;775;Kfz <= 3,5t hzG;94410.0
2023;12;742;Kfz > 3,5t hzG;3333.0
